耶里夏丽我已经吃过很多次了，属于常客，客观来讲非常不错。这次光顾第一次点了烤羊腿，但是相对于其他菜品，烤羊腿也算是耶里夏丽的特色菜品了，但是今天这个菜下面铺放的隔盘纸非常的不好，不仅用了一张印有汉堡包的纸，而且还是印刷面与食物接触。我们在用餐的时候发现了以后，和服务员，领班都有了沟通，也只是微微一笑，也没有哪怕是盘体的更换，后来与一位公司派下来监督的人员反应（张*峰），听完以后也没做任何反应，我也是很费解，都不做事情的么？所以这次用餐非常不开心，也让我对耶里夏丽的印象大打折扣，尤其是东方路店。所以差评。,很差
记忆中的耶里夏丽是来上海较早的连锁型新疆餐厅，特色在于吃饭时也能看表演！！！,好
石河子凉皮没有以前好吃了，抓饭也没有在新疆吃的好吃，感觉油少，干巴巴的，不香，其他的水准还不错，最好吃的是薄饼羊肉卷，羊肉小粒粒很入味，三个人四个菜一个主食，撑,很好
n次来了～依旧点咸奶茶～壶变好看了～最爱囊烤羊排～干杯土豆片和大盘鸡都不错～只是好像土豆点多了～吃不下了～哈哈哈哈～耶里夏利的量还是很足的～这次去刚好不用排队～大盘鸡有点辣～宽面很q～服务很好～上菜也蛮快的～,非常好
再次去吃耶里夏丽，有好多新菜！等人是件苦差事！哈哈！等朋友的时候来了一份酸奶！不酸不甜，配上他们的葡萄干真的很好吃。比西贝的酸奶好吃多了！朋友很喜欢他们的羊肉串！我倒是觉得没有家门口的好吃！惊艳我的是娜帕里勇，真心好吃，感觉比甜品店好吃多了。吃完打包了三份回家！其他菜感觉没啥变化！生态小土豆真是失败，一点也不好吃！,非常好
点菜以后十分钟，菜就上齐了，堆了满桌子，瞬间没有食欲。很多菜都是温热的，能说明什么，菜是是先做好的！！！羊排也是温的，真的太差了，以后不想来了。,一般
环境好味道好价格还行值得再去。。。。。。。,非常好
比我想象的还要好羊排烤羊腰子都很好码很大中午还有新疆舞看新疆美食非常不错推荐给大家,非常好
总体没有正大的好，但一进门还是能感受到浓浓的新疆气息，感觉就像是走进了新疆普通饭店的感觉的，还挺不错的。香囊烤羊排感觉比以前要下了很多，口感不差……味道还是以前一样。他们家奶茶还是挺不错的，浓郁的茶味，可惜没有冷的，每个整点或有舞蹈表演，挺新疆特色的。,很好
下班和老公孩子来吃的晚饭，因为小朋友比较喜欢这里的舞蹈表演所以就又过来了，这次过来上菜还比较及时，所以还是热的，这点算是有改进，凉皮和羊排。还有怕玛里勇，这几个是每次来的必点，味道一直维持的不错，就是因为都是肉菜吃的有点撑。,很好
在世纪公园赏梅，完了以后过来聚餐，服务很好，点了份烤羊腿，不得不说比外面那些专业做烤羊腿的还好，肉非常嫩，也很香。其他有印象的菜是馕包肉，馕是真的好吃，里面的肉也肥而不腻。原味奶茶也很好喝，其他的都想不起来了，总体来说非常好吃。,非常好
菜的量很足，味道不错，就是吵了一点。,很好
老公非常爱新疆菜，我们来过无数次，每次必点薄饼羊肉卷，牛腱肉，手抓饭还有风味炒馕。,很好
周六和老公骑车，骑了一上午找了家餐厅吃一吃。,好
羊肉串啊我的最爱！大盘鸡啊我的最爱！,很好
口口相传耶里夏丽新疆菜正宗，好吃。今天终于一饱口福,很好
在上海发现这么正的清真馆子，菜品多样颠覆了传统清真馆子只有串，拉面的样式，多了特色甜品，奶茶。最让人记忆深刻的是每晚七点的特色表演，跳的非常不错～民族的现代的都有。烤羊腿非常赞，番茄牛肉好评！好希望北京也有这家店！,非常好
来上海出差，和以前的同事叙旧，地方很好找，就在中油的酒店对面。店的面积不小，很有西域风格，服务员也很热情。由于是头一次来，就按照在帝都新疆馆子的套路来，羊肉串，馕，炝炒包心菜，菌菇小炒，水果莎拉，羊排，还特意点了瓶疆啤。羊肉串味道正宗，每串肉7和油都很嫩滑，羊排打80分，缺点黑胡椒，炝炒包心菜虽然简单，但要做的入味地道，并不简单。这家可以入围。菌菇小抄用锡纸包裹加热，打开后弥漫着菌类特有的香味，配上疆啤感觉倍爽。,非常好
口味：羊排好啊一如既往好吃，大盘鸡还是超级大份那个甜品吃慢变软没有冰爽感了口感差一点。大拌菜中规中矩比较多，凉皮比较好吃呢！味道很赞。,非常好
中午去了，东方路上的耶里夏丽。饭店旁边就有停车场。十元随便停。虽然店里吃饭不能报销车费，但是可以凭停车小票拿一份酸奶，酸奶9元1份。也算是另外一种形式的报销吧。可以接受，说明店家也为来吃饭的顾客考虑到了，值得赞赏！店里的服务员和厨师都是新疆人，地地道道的！晚上还有歌舞真人秀。点了羊肉串，外面街边的我绝对不敢吃，这里我绝对放心吃。他们伊斯兰教的信仰还是有的，绝不会乱来。3.5一串绝对良心价。凉皮酸爽可口。面筋筋道。大盘鸡，绝对的大，鸡块大，土豆也大。我很喜欢吃土豆，精华全在土豆里面。里面的寬面条也是一绝。真的入味，鸡肉的香味浓郁。面条爽口，滑溜！还要大力夸奖一下娜帕里勇，奶香四溢，口感醇厚。大赞！！！,非常好
耶里夏丽的店去过好几家了，东方路这家是第一次来。这次是和真正懂新疆菜的同事一起过来的。羊肉串，大盘鸡必点，大盘鸡里的土豆好香；另外一个新疆特色是奶茶，是羊奶做到，特别的地方是咸的，而且茶壶很特色；手工酸奶不错，没有那么甜，很香；还有烤羊腿，香而且熟软；有一个素菜叫皮拉红，菜新鲜开胃爽口；还有羊肉土豆里面泡馕??再有就是拔丝哈密瓜，好吃不甜腻；有一个辣椒牛柳，辣椒的辣度不错。五人600多，送券????总结起来就是好吃够味下次还来！??,非常好
味道好菜量大吃过很多次了赞赞赞,非常好
在上海吃到如此正宗新疆菜，心情简直没得说的好呀！这个地方好火的！里面满满的，外面等待的吃客也满满的。遇上周末更是火的不要不要的。菜品特色做法和原料都是值得反复回味的。好吃！还要来光顾。提醒大家：一定要提前预定呀！,非常好
菜品丰富，味道很正宗，服务很好，羊肉串很好吃,非常好
位置服务，价格，什么都好，饭菜不错，吃货好久才评论,非常好
很久没吃耶里夏利了，和朋友们相约一起晚饭，点的几道菜都不错。羊肉串肥瘦适宜，肉香又嫩，好吃又不贵。石河子凉皮，酸爽可口很解油腻，凉皮和面筋都很有韧劲，好吃。羊排香糯无比，蘸着配的辣油超级赞，一块吃下去很满足。朋友点的羊腰我没尝味道，但听他们直呼好吃。番茄牛肉味道很浓郁，甜甜的。牛肉酥烂，喜欢。烤杏鲍菇，第一次点，着实被惊艳到了，有点脆皮豆腐的感觉但是菇比较有嚼劲，香味回味无穷，推荐！薄饼羊肉卷也是第一次点但很失望，这个馅吃不到肉味感觉全是洋葱和甜椒，不喜欢。娜帕里勇，这个是朋友强烈推荐的，确实很好吃，奶香味十足不是很甜，千层糕的感觉。新疆黑啤冰的好爽，口感浓郁但不是很苦，好喝。服务员的态度很好，也很亲切，会继续光顾。,非常好
东西好吃价格还可以很不错.下次再来,非常好
上周六又去吃了，结果吃了一肚子火。先是坐下五分钟硬是没服务员点餐，害得我不得不大着嗓门喊，这倒还好吧。接下来点羊肉串，我说辣的和不辣的给分开，有小朋友吃不了辣，上一次就给我放一个盘子里了，放一个盘子里就分不开了。结果我说话的同时服务员死活非要一起说话，几次都是，我不得不再次重复我的话，剩的她没听清，到这里我都忍了。,好
前几天中午办事路过这里，就进去吃了，因为只有2人就没点蔬菜，都点肉了，感觉点的不多，但吃得撑住了，大盘鸡量好多，味道也不错；羊排不够入味；烤羊肉串好吃，烤馕还好点了一份，不然肯定吃不下，馕沾酸奶，味道很好，不错,很好
来吃过几次，觉得都还是不错的。这次也不错，大盘鸡一如既往的好吃，不过我更喜欢的是烤羊腿，咬一口满嘴焦香，原汁原味，加点调料则是满口椒香，非常好！不过奶茶很一般，没有什么特色，感觉不出和外面奶茶店有啥区别。服务也还行，新疆歌舞表演也不错。,很好
自从去了一趟西疆！对西疆菜就情有独钟！时不时总要去吃西疆菜，耶里夏丽是我经常光顾的店，新疆大盘鸡超级大盘超推荐??！羊肉串自然也是相当赞??！关键羊肉串很便宜！晚上还有表演额！可惜我每次都没有机会看见，哈密瓜拔丝这个我不推荐，中看不中吃，服务员也是属于比较热情的！可惜不是新疆人！老板！请几个新疆服务员过来可好？,非常好
不错，去过好几次，还想去………………,好
很爱吃羊腿，上海吃烤羊腿的地方，耶里夏丽我很中意，量足，因为生意好，肉也很新鲜，喜欢。,非常好
新疆菜我也是挺喜欢的，可惜现在要控制了，蛋白质太多,非常好
下午五点三刻去的，没排队，环境有点吵，有小朋友在舞台上玩耍打闹。,非常好
舞蹈没有正大的出彩。以及上海的新疆菜都不咋地,很好
这个是我在周围看到比较好的店，档次不高，但是很用心去做。,非常好
好久没有来了，今天因为在附近买灯弯过来顺便吃个饭的，差不多5点左右的时间，以前这里很多人等位，现在跑进去，里面好多空位，人气明显不足，我们三个人点了一份烤羊腿，点过没多久就上桌了，只有温温的，边缘还有好几个焦黑的，叫来服务员问时，说他们家羊腿不是现烤的，是早烤好了，微波炉加热的，真是很倒胃口。点了一壶奶茶竟也是温的，口味倒还好。又点的一份淑麻鸡，可能冷盘的关系，味道还是一如既往地好吃??，再点了4串羊肉串和一个烤爙都还不错??。他们现在没有什么活动，所以结帐时要260元。性价比不高。服务员态度都还可以。周围环境很一般，本来按排我们坐在中央，为了方便等下可以看演出，因为他们每晚都会有新疆人跳舞。但是因为我先生觉得那样坐不舒服，所以我们换边上坐，还没开始演出，我们就已经吃完走了。,好
这家店和同事朋友来过好几回了，离4号线浦电路站不远，新疆餐厅有歌舞表演，这是他家最大的特色。,很好
总体真的还不错，有歌舞助兴，值得一去。,非常好
经常来，服务员盖爽服务态度很好，开心,非常好
新疆菜里还是耶里夏利的水平最稳定，烤羊排一如既往的好吃。雪域牛肉有点塞牙，火焰山的羊肉串比较好吃。歌舞表演也是吸引大家的一个卖点，东方路店可能老外比较多，演出前还讲了一堆英文介绍。貌似每家店的舞蹈风格有些不同，之前在正大店想在看Stripper…,非常好
一家安全放心的新疆餐厅。吃了很多次，一直忘写点评。烤羊肉串每次必点。牛心菜和西贝的一样很正宗。尝试了新品，羊肉和洋葱炒后包在米皮里吃。有点像片皮鸭包饼这种，但是口感没有片皮鸭包饼好吃，洋葱有点甜，和羊肉配一起炒，不太好吃。耶利诱惑这个饮料口感不错，新疆奶茶也力推。,很好
地道好吃的新疆菜！奶酪，奶茶，羊排都让人喜欢??,非常好
就是谈不上好坏的店，想吃就会来。午市套餐还真划算，少数名族的饮料真心吃不惯。工作日中午有时候需要等位，比较尴尬，上菜挺快，么看到跳舞最好也少跳跳略吵。还有25个字要写，多出点优惠就好了，午市套餐的饭有点硬。,很好
羊肉串都是凉的，带着希望去，失望的回来，那个烤鱼一点也不入味，娜帕里勇硬硬的，不是知道是就是那样还是怎么回事，服务员还挺好的,很差
吃得好饱，羊肉串必点，好多菜都有土豆，完全吃不下了，胃不够大！,非常好
生意很好的一家，满热闹的，羊肉串一直是良心价格啊…大盘鸡没之前好吃了,很好
还不错的！经常去吃！最近有些新的菜式！也保留了新疆传统菜式！口味比之前有一段时间要好很多！,非常好
常去的一家店，必点羊腿，奶茶，不过今天尝试了拔丝哈密瓜??，我的天，真的不好吃，像油豆腐包哈密瓜，甜品叫了娜帕里勇，真的很好吃。,非常好
总体来说还不错吃过两次感觉第二次没第一次好吃,非常好
这家耶里夏丽很大坏境很好,很好
